Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 11.2, 17.0, 25.2, 2.0, 2.8, 5.0, 10.8, 15.4, 154.4, 1.0, 1.2, 1.8, 9.4, 15.4, 23.0, 8.2, 13.2, 18.4, 0.0, 4, 0, 0, 5, 0, 0, 1, 0, 0, 0, 2, 3, 131.5, 1682, 593, 37123, 711, 177, 157.4, 4.97, 0.000, 0.000
638, 600, 11.4, 17.0, 83.6, 2.0, 2.8, 9.6, 10.2, 13.2, 17.8, 0.8, 1.0, 2.6, 9.6, 15.2, 80.8, 8.2, 14.0, 55.2, 0.0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 1760, 707, 37418, 746, 177, 162.4, 5.55, 0.003, 0.003
957, 600, 12.0, 19.4, 34.8, 2.2, 3.2, 12.8, 11.6, 17.8, 28.0, 1.0, 1.2, 2.2, 10.2, 17.2, 25.0, 8.8, 14.8, 19.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 717, 37611, 811, 177, 161.6, 6.03, 0.003, 0.003
1278, 600, 12.8, 20.6, 60.8, 2.4, 3.6, 14.4, 14.2, 19.4, 23.0, 1.0, 1.4, 2.8, 10.8, 18.4, 28.2, 9.8, 16.0, 24.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1723, 737, 37798, 925, 178, 160.8, 6.70, 0.001, 0.001
1599, 600, 11.6, 18.0, 47.4, 2.0, 2.8, 8.0, 8.2, 10.4, 12.2, 0.8, 1.2, 5.0, 9.8, 16.4, 45.2, 8.8, 14.0, 42.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1771, 772, 37905, 945, 180, 156.0, 5.10, 0.008, 0.008
1918, 600, 11.4, 19.2, 35.0, 2.2, 3.8, 12.6, 12.2, 22.8, 32.4, 1.0, 1.2, 5.2, 9.6, 17.2, 32.4, 8.6, 14.6, 29.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36.0, 1735, 766, 37248, 789, 179, 160.4, 6.10, 0.003, 0.003
2239, 600, 10.6, 16.8, 21.6, 1.8, 2.6, 7.4, 9.6, 13.0, 16.4, 0.8, 1.2, 1.8, 8.8, 15.0, 19.8, 7.8, 13.0, 17.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1685, 769, 37431, 829, 184, 159.8, 5.85, 0.005, 0.005
2559, 600, 11.2, 18.0, 33.2, 2.2, 3.0, 13.6, 12.2, 16.0, 21.2, 1.0, 1.2, 3.0, 9.4, 15.6, 27.8, 8.4, 13.8, 22.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1705, 782, 37574, 873, 184, 160.8, 5.47, 0.002, 0.002
2879, 600, 13.0, 24.2, 39.4, 4.8, 23.4, 29.4, 17.0, 26.4, 32.0, 1.2, 1.6, 2.8, 9.2, 17.0, 20.8, 9.0, 15.0, 18.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1703, 784, 37772, 1030, 184, 163.8, 7.22, 0.001, 0.001
3199, 600, 9.8, 17.2, 28.4, 2.0, 3.0, 11.0, 7.8, 12.4, 14.6, 1.0, 1.2, 3.6, 8.0, 15.0, 20.0, 7.6, 13.6, 17.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1704, 790, 38075, 1098, 192, 162.2, 5.18, 0.004, 0.004
3521, 600, 12.6, 19.8, 40.8, 2.6, 3.8, 16.4, 13.0, 21.0, 22.8, 1.0, 1.4, 2.2, 10.6, 17.6, 27.2, 9.6, 15.6, 19.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 800, 38232, 1166, 192, 162.4, 5.95, 0.000, 0.000
3840, 600, 11.6, 19.2, 35.4, 2.4, 3.6, 12.4, 13.4, 19.2, 23.2, 1.0, 1.2, 3.4, 9.8, 17.2, 25.0, 8.6, 14.0, 24.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1710, 826, 38433, 1274, 194, 159.6, 5.83, 0.012, 0.012
4160, 600, 11.2, 19.2, 23.2, 2.0, 2.8, 9.6, 11.8, 21.8, 25.2, 1.0, 1.4, 2.6, 9.4, 17.2, 21.2, 8.4, 15.0, 20.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1710, 830, 38663, 1379, 197, 163.2, 5.93, 0.000, 0.000
4480, 598, 13.4, 21.0, 28.4, 2.2, 3.2, 12.2, 9.4, 12.0, 13.6, 1.2, 1.4, 3.8, 11.4, 19.0, 21.4, 10.2, 16.2, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53.0, 1694, 813, 37396, 777, 178, 160.8, 6.30, 0.000, 0.000
4801, 600, 11.6, 18.2, 67.4, 2.2, 2.8, 9.6, 11.6, 14.0, 16.8, 1.0, 1.2, 2.2, 9.8, 16.2, 65.2, 8.4, 13.8, 57.2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1775, 867, 37538, 807, 178, 159.8, 5.60, 0.005, 0.005
5121, 600, 12.0, 19.8, 38.8, 2.2, 3.4, 10.6, 11.2, 14.6, 17.8, 1.0, 1.4, 2.6, 10.0, 17.6, 21.4, 8.8, 14.4, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1708, 871, 37706, 888, 179, 159.2, 6.45, 0.006, 0.006
5441, 600, 11.6, 19.0, 32.4, 2.2, 3.0, 8.4, 11.2, 18.8, 24.6, 1.0, 1.2, 4.2, 9.8, 16.8, 25.4, 9.0, 14.6, 21.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1706, 878, 37951, 1020, 183, 161.4, 5.78, 0.003, 0.003
5761, 600, 11.4, 17.6, 95.2, 2.2, 3.2, 8.0, 11.2, 14.2, 17.4, 1.0, 1.2, 2.6, 9.6, 15.8, 93.4, 8.4, 14.0, 56.6, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1755, 947, 38206, 1066, 185, 159.8, 5.95, 0.003, 0.003
6081, 600, 11.8, 19.0, 37.8, 2.2, 3.2, 10.2, 9.8, 13.8, 17.4, 1.0, 1.2, 2.0, 9.8, 16.8, 21.6, 8.8, 14.8, 19.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1717, 947, 38346, 1115, 185, 166.0, 6.43, 0.003, 0.003
6402, 600, 12.6, 19.6, 62.4, 2.4, 3.4, 13.0, 13.6, 19.8, 24.2, 1.0, 1.2, 2.8, 10.6, 17.6, 60.8, 9.2, 15.0, 24.2, 0.0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1761, 1006, 38527, 1211, 187, 163.4, 6.78, 0.009, 0.009
6723, 600, 12.6, 19.0, 37.0, 2.2, 3.4, 9.8, 12.4, 15.0, 17.0, 1.0, 1.2, 3.4, 10.6, 16.8, 20.4, 9.2, 15.0, 20.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69.5, 1693, 1000, 37315, 776, 180, 159.6, 6.15, 0.003, 0.003
7041, 600, 12.2, 19.6, 39.2, 2.2, 3.0, 8.6, 12.0, 17.0, 20.8, 1.0, 1.2, 2.2, 10.4, 17.6, 23.6, 9.2, 15.2, 22.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1698, 1000, 37450, 834, 180, 163.6, 6.33, 0.001, 0.001
7361, 600, 12.2, 19.2, 38.8, 2.4, 3.4, 14.4, 12.8, 18.4, 23.2, 1.0, 1.2, 2.6, 10.2, 17.2, 21.0, 9.2, 14.8, 19.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1705, 1003, 37741, 924, 182, 162.0, 6.00, 0.005, 0.005
7683, 600, 12.0, 18.4, 22.8, 2.2, 3.2, 11.0, 12.0, 17.2, 26.8, 1.0, 1.2, 2.6, 10.0, 16.6, 20.8, 9.2, 14.4, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1707, 1006, 37987, 1007, 184, 160.2, 5.90, 0.004, 0.004
8002, 600, 12.0, 18.8, 42.6, 2.4, 3.2, 12.8, 12.4, 16.4, 17.8, 1.0, 1.4, 2.4, 10.0, 16.4, 22.0, 9.0, 14.4, 22.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1712, 1006, 38135, 1057, 184, 161.2, 6.18, 0.006, 0.006
8323, 600, 12.0, 18.6, 37.8, 2.2, 3.2, 13.4, 10.6, 13.0, 16.0, 1.0, 1.2, 2.6, 10.0, 16.2, 20.4, 9.0, 14.4, 21.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1715, 1007, 38270, 1116, 184, 165.4, 5.72, 0.008, 0.008
8643, 600, 11.8, 18.6, 36.4, 2.4, 3.4, 9.8, 11.4, 15.2, 19.4, 1.0, 1.4, 2.4, 10.0, 16.2, 23.8, 9.0, 14.4, 21.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1722, 1009, 38436, 1186, 186, 167.6, 6.08, 0.001, 0.001
8963, 600, 11.8, 18.6, 36.2, 2.6, 5.8, 18.4, 13.8, 24.4, 26.4, 1.0, 1.2, 4.6, 9.8, 17.0, 20.8, 8.8, 14.6, 19.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1728, 1022, 38673, 1273, 189, 165.4, 5.00, 0.011, 0.011
9284, 600, 11.0, 17.6, 22.4, 2.0, 2.8, 8.2, 10.4, 14.2, 17.4, 1.0, 1.2, 2.8, 9.0, 15.6, 20.8, 8.0, 13.4, 19.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62.0, 1701, 1014, 37191, 776, 179, 161.8, 4.88, 0.004, 0.004
9604, 600, 11.0, 17.0, 35.8, 2.0, 2.8, 8.0, 9.2, 14.0, 15.6, 1.0, 1.4, 2.0, 9.2, 15.2, 20.2, 8.2, 13.4, 18.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1706, 1017, 37388, 860, 181, 146.6, 4.93, 0.000, 0.000
9923, 600, 11.6, 18.0, 48.8, 2.2, 3.0, 9.0, 9.6, 12.0, 13.8, 1.0, 1.2, 3.0, 9.8, 16.2, 47.2, 8.4, 13.6, 20.4, 0.0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 1020, 37622, 902, 183, 156.0, 5.43, 0.001, 0.001
10244, 600, 11.8, 18.0, 67.4, 2.0, 2.8, 10.0, 9.8, 13.4, 16.6, 1.0, 1.2, 2.4, 10.0, 16.2, 64.8, 8.8, 14.4, 39.8, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1718, 1020, 37736, 930, 183, 162.8, 5.43, 0.001, 0.001
10565, 600, 12.2, 19.8, 41.2, 2.6, 3.8, 18.2, 12.8, 21.4, 24.6, 1.0, 1.4, 2.0, 10.2, 17.6, 25.6, 8.8, 14.2, 19.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1723, 1020, 37880, 1012, 183, 169.4, 6.55, 0.000, 0.000
10885, 600, 12.0, 20.0, 41.2, 2.4, 3.4, 13.0, 9.8, 14.0, 16.6, 1.0, 1.2, 2.2, 10.2, 17.8, 24.4, 9.0, 14.4, 24.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1727, 1023, 38113, 1089, 188, 159.0, 6.00, 0.000, 0.000
11204, 600, 10.8, 17.6, 40.2, 2.0, 2.8, 8.4, 8.6, 10.8, 12.6, 1.0, 1.2, 2.6, 9.0, 15.6, 20.0, 8.0, 13.6, 19.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1726, 1028, 38327, 1151, 191, 159.8, 5.62, 0.000, 0.000
11526, 600, 12.0, 19.8, 22.6, 2.2, 3.2, 6.4, 8.8, 11.8, 14.4, 1.0, 1.2, 2.8, 10.2, 17.8, 20.8, 9.0, 14.6, 21.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62.0, 1708, 1011, 37152, 758, 178, 147.6, 5.83, 0.000, 0.000
11845, 600, 11.8, 18.0, 36.8, 2.0, 2.6, 9.0, 8.2, 11.6, 13.8, 0.8, 1.2, 2.6, 10.0, 16.2, 20.0, 8.8, 14.4, 17.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1699, 1017, 37361, 798, 182, 139.8, 5.80, 0.000, 0.000
12165, 600, 12.2, 19.8, 40.2, 2.4, 3.4, 10.8, 10.4, 15.6, 22.4, 1.0, 1.4, 2.2, 10.4, 17.4, 24.0, 9.2, 15.2, 22.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 1017, 37544, 891, 182, 135.6, 5.90, 0.000, 0.000
12487, 600, 11.8, 19.0, 40.4, 2.2, 2.8, 7.0, 6.0, 8.8, 9.8, 1.0, 1.2, 2.6, 9.8, 16.6, 26.4, 8.6, 14.4, 21.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1712, 1021, 37674, 924, 184, 135.6, 5.65, 0.000, 0.000
12807, 600, 12.8, 20.2, 43.0, 2.4, 3.4, 11.0, 11.6, 14.6, 16.2, 1.0, 1.4, 2.8, 10.8, 18.0, 25.0, 9.4, 15.2, 24.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1714, 1025, 37815, 977, 185, 139.6, 6.28, 0.002, 0.002
13127, 600, 10.8, 16.8, 30.2, 2.0, 3.0, 7.8, 10.6, 15.2, 18.2, 0.8, 1.2, 1.8, 9.0, 14.8, 20.2, 8.2, 13.4, 15.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1716, 1031, 38108, 1036, 190, 145.4, 5.25, 0.000, 0.000
13447, 600, 12.0, 19.8, 37.0, 2.4, 3.4, 11.0, 10.8, 13.6, 17.6, 1.0, 1.4, 2.4, 9.8, 17.4, 21.6, 8.8, 15.0, 21.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1719, 1032, 38256, 1091, 190, 146.0, 5.83, 0.000, 0.000
13768, 600, 11.0, 16.8, 22.2, 2.2, 3.2, 7.4, 9.2, 12.2, 16.6, 1.0, 1.2, 2.4, 9.2, 14.8, 19.8, 8.2, 13.4, 16.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1717, 1034, 38421, 1115, 192, 155.0, 6.20, 0.000, 0.000
14088, 600, 12.4, 20.2, 40.8, 2.4, 3.6, 8.2, 10.6, 13.4, 16.0, 1.0, 1.4, 2.6, 10.4, 17.8, 26.0, 9.2, 15.2, 24.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75.5, 1699, 1016, 37054, 782, 178, 129.8, 7.22, 0.000, 0.000
14408, 600, 9.2, 15.0, 21.2, 1.8, 2.4, 7.6, 7.4, 11.4, 14.6, 0.8, 1.0, 3.2, 7.6, 13.2, 19.4, 6.8, 11.6, 15.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1698, 1024, 37287, 822, 184, 128.4, 4.78, 0.000, 0.000
14728, 600, 12.2, 19.4, 36.2, 2.2, 3.2, 8.0, 9.2, 11.6, 13.6, 1.0, 1.4, 2.4, 10.2, 17.2, 21.2, 9.0, 14.6, 17.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1705, 1024, 37429, 852, 184, 131.6, 5.65, 0.000, 0.000
15049, 600, 10.6, 17.0, 31.0, 2.0, 2.8, 6.4, 8.8, 12.4, 14.8, 1.0, 1.4, 3.6, 8.6, 15.2, 19.8, 8.2, 13.6, 15.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1708, 1028, 37582, 895, 188, 125.6, 5.15, 0.000, 0.000
15368, 600, 13.0, 20.4, 40.8, 2.4, 3.4, 8.2, 11.6, 15.4, 17.2, 1.0, 1.4, 3.0, 11.0, 18.2, 21.6, 9.6, 15.8, 21.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1714, 1028, 37722, 959, 188, 137.8, 6.95, 0.000, 0.000
15689, 600, 13.0, 20.6, 44.2, 2.4, 3.6, 13.0, 9.4, 14.2, 16.0, 1.0, 1.4, 3.0, 11.0, 18.2, 23.4, 9.8, 15.8, 22.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 1031, 37857, 1017, 190, 133.8, 6.80, 0.000, 0.000
16010, 600, 11.8, 20.4, 44.4, 2.2, 3.4, 9.6, 9.6, 12.4, 14.4, 1.0, 1.4, 2.2, 9.8, 17.6, 26.8, 8.8, 14.8, 26.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 1032, 37961, 1097, 191, 132.6, 6.83, 0.000, 0.000
16330, 600, 12.2, 19.6, 36.6, 2.4, 3.2, 7.4, 7.8, 9.8, 13.0, 1.0, 1.4, 2.6, 10.4, 17.0, 20.4, 9.0, 14.8, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1719, 1038, 38149, 1136, 196, 128.4, 6.08, 0.000, 0.000
16650, 600, 11.2, 17.0, 22.2, 2.2, 3.2, 5.2, 9.0, 11.2, 13.6, 1.0, 1.2, 1.6, 9.4, 15.4, 20.2, 8.4, 13.6, 17.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42.5, 1688, 1014, 37139, 773, 178, 126.4, 5.08, 0.000, 0.000
16970, 600, 11.6, 18.4, 35.6, 2.2, 2.8, 8.0, 8.6, 11.4, 13.4, 1.0, 1.2, 3.0, 9.6, 16.2, 21.6, 8.4, 14.0, 19.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1696, 1014, 37225, 814, 178, 122.2, 6.08, 0.000, 0.000
17290, 600, 12.0, 20.2, 41.8, 2.4, 3.6, 10.0, 9.4, 11.8, 14.8, 1.0, 1.4, 2.8, 10.0, 17.2, 27.4, 8.8, 14.6, 24.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1698, 1017, 37431, 897, 180, 118.6, 6.80, 0.000, 0.000
17610, 600, 10.0, 16.2, 35.0, 1.8, 2.6, 9.4, 6.6, 8.6, 11.2, 0.8, 1.2, 2.6, 8.2, 14.4, 19.0, 7.6, 13.4, 18.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 1024, 37613, 959, 184, 113.0, 5.08, 0.000, 0.000
17931, 600, 11.8, 18.8, 42.0, 2.2, 3.0, 6.6, 10.0, 12.6, 14.4, 1.0, 1.2, 2.4, 10.0, 17.0, 25.0, 8.8, 14.0, 18.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1704, 1024, 37721, 983, 184, 118.8, 5.75, 0.000, 0.000
18251, 600, 11.6, 19.0, 36.8, 2.4, 3.2, 7.6, 9.6, 12.0, 14.2, 1.0, 1.2, 2.2, 9.8, 16.4, 28.0, 8.6, 13.8, 25.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1712, 1024, 37835, 1009, 184, 122.6, 5.72, 0.000, 0.000
18571, 600, 12.4, 20.2, 41.8, 2.4, 3.6, 10.6, 10.0, 13.4, 17.8, 1.0, 1.4, 2.0, 10.4, 17.6, 25.4, 9.4, 15.2, 24.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1717, 1024, 37952, 1082, 184, 119.0, 7.28, 0.000, 0.000
18891, 600, 11.8, 19.2, 38.2, 2.4, 3.4, 10.8, 9.2, 11.8, 14.2, 1.0, 1.2, 3.8, 9.8, 16.8, 25.8, 8.6, 14.2, 19.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31.5, 1687, 1017, 37070, 773, 178, 116.6, 6.28, 0.000, 0.000
19211, 600, 11.8, 19.8, 33.0, 2.4, 3.2, 9.0, 9.0, 12.8, 17.2, 1.0, 1.2, 2.0, 9.8, 17.4, 20.6, 8.8, 14.2, 17.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1701, 1020, 37258, 812, 180, 116.6, 5.62, 0.000, 0.000
19533, 600, 11.6, 19.0, 41.6, 2.2, 2.8, 8.2, 8.0, 10.8, 13.6, 1.0, 1.2, 2.6, 9.8, 16.8, 22.2, 8.6, 14.2, 18.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1702, 1023, 37395, 857, 182, 114.8, 5.55, 0.000, 0.000
19853, 600, 11.4, 18.6, 22.4, 2.2, 2.8, 4.8, 7.6, 10.4, 12.4, 1.0, 1.2, 2.6, 9.6, 16.6, 20.6, 8.4, 13.4, 18.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1704, 1023, 37521, 880, 182, 129.0, 5.97, 0.000, 0.000
20173, 600, 11.2, 18.4, 34.4, 2.2, 2.8, 5.0, 9.4, 11.6, 14.4, 1.0, 1.2, 2.2, 9.4, 16.4, 21.4, 8.2, 13.8, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 1024, 37650, 917, 182, 147.2, 5.70, 0.000, 0.000
20493, 600, 10.2, 17.4, 36.4, 1.8, 2.2, 7.4, 6.8, 11.0, 13.0, 0.8, 1.2, 4.2, 8.4, 15.4, 20.0, 7.6, 13.4, 17.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1704, 1029, 37806, 975, 186, 144.8, 5.22, 0.000, 0.000
20812, 600, 12.0, 19.4, 22.8, 2.4, 3.4, 7.8, 8.8, 11.8, 13.0, 1.0, 1.2, 2.6, 10.2, 17.6, 20.8, 8.8, 14.2, 18.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1706, 1032, 37946, 1004, 188, 148.4, 5.90, 0.000, 0.000
21133, 600, 12.0, 19.2, 92.2, 2.2, 3.2, 9.0, 10.2, 13.2, 16.0, 1.0, 1.2, 1.8, 10.2, 16.6, 90.6, 9.0, 15.0, 37.4, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1761, 1073, 38054, 1035, 188, 121.6, 6.53, 0.000, 0.000
21454, 600, 11.8, 18.2, 38.6, 2.2, 3.2, 7.6, 7.0, 9.0, 11.4, 1.0, 1.2, 2.6, 9.8, 16.2, 20.6, 9.0, 14.2, 17.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44.0, 1686, 1056, 37040, 754, 178, 108.8, 5.95, 0.000, 0.000
21774, 600, 11.8, 18.0, 43.4, 2.2, 3.2, 12.0, 8.6, 11.8, 13.4, 1.0, 1.2, 2.2, 10.0, 16.2, 20.2, 9.0, 14.8, 21.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1697, 1059, 37208, 797, 180, 135.8, 5.85, 0.000, 0.000
22094, 600, 11.6, 18.0, 35.4, 2.2, 2.8, 9.8, 10.4, 12.8, 14.8, 1.0, 1.2, 2.0, 9.6, 16.0, 20.2, 8.4, 13.8, 16.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1702, 1059, 37301, 816, 180, 137.8, 5.70, 0.000, 0.000
22414, 600, 12.2, 19.6, 44.8, 2.2, 2.8, 6.6, 8.4, 10.6, 13.2, 1.0, 1.2, 1.8, 10.2, 17.6, 24.4, 9.0, 14.6, 24.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1703, 1059, 37358, 842, 180, 100.0, 5.90, 0.000, 0.000
22735, 600, 12.0, 18.2, 38.6, 2.2, 3.0, 7.0, 7.2, 8.8, 10.2, 1.0, 1.4, 3.4, 10.0, 16.4, 21.4, 8.8, 14.2, 20.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1703, 1064, 37453, 864, 182, 98.0, 5.28, 0.000, 0.000
23055, 600, 10.8, 17.8, 37.6, 2.0, 2.8, 4.4, 5.8, 7.8, 9.8, 1.0, 1.2, 2.0, 9.0, 15.8, 22.6, 8.0, 13.4, 20.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1701, 1064, 37544, 887, 183, 99.8, 5.45, 0.000, 0.000
23375, 600, 11.2, 18.0, 22.6, 2.2, 3.2, 7.0, 6.0, 8.4, 10.8, 1.0, 1.2, 4.6, 9.2, 15.8, 20.6, 8.2, 13.8, 17.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1706, 1068, 37706, 919, 186, 99.4, 5.45, 0.000, 0.000
23696, 600, 12.0, 19.6, 36.4, 2.2, 3.2, 12.6, 6.6, 8.4, 12.8, 1.0, 1.2, 2.0, 10.0, 17.2, 21.4, 9.0, 14.6, 21.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1718, 1069, 38231, 977, 188, 100.2, 5.65, 0.000, 0.000
24016, 600, 11.8, 19.2, 36.2, 2.0, 3.2, 8.2, 7.4, 11.6, 14.0, 1.0, 1.2, 4.0, 10.0, 17.2, 27.0, 9.2, 15.6, 26.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53.0, 1705, 1063, 37591, 808, 182, 98.6, 5.85, 0.000, 0.000
24336, 600, 12.4, 20.2, 39.2, 2.4, 3.2, 9.0, 8.2, 12.0, 15.0, 1.0, 1.4, 2.2, 10.4, 18.0, 20.8, 9.2, 14.8, 20.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1707, 1066, 37761, 890, 184, 102.0, 6.05, 0.000, 0.000
