Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 5.6, 7.0, 8.8, 3.8, 5.0, 6.4, 14.2, 22.6, 200.0, 2.4, 3.0, 3.4, 2.4, 4.0, 5.6, 2.6, 3.2, 3.2, 0.0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 125.5, 2000, 503, 72925, 2765, 321, 23.2, 2.53, 0.000, 0.000
638, 600, 4.8, 5.4, 10.4, 3.4, 4.4, 7.8, 9.8, 12.4, 15.4, 2.0, 2.4, 3.4, 2.0, 2.4, 3.6, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1976, 506, 73010, 2788, 326, 24.2, 1.75, 0.000, 0.000
958, 600, 5.2, 6.2, 16.0, 3.8, 5.0, 16.2, 8.6, 11.6, 15.0, 2.4, 3.0, 4.6, 2.0, 2.6, 4.2, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1982, 511, 73250, 2839, 337, 24.6, 2.20, 0.000, 0.000
1278, 600, 5.6, 6.6, 26.0, 4.6, 5.6, 26.2, 10.8, 14.0, 16.2, 2.6, 3.4, 4.2, 2.2, 2.6, 3.4, 2.4, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37.0, 1982, 484, 72873, 2817, 325, 24.0, 2.48, 0.000, 0.000
2472, 600, 7.2, 9.0, 12.2, 5.4, 7.6, 8.8, 11.8, 17.2, 197.8, 3.2, 4.0, 10.2, 3.0, 3.8, 4.6, 2.6, 2.8, 3.8, 0.0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 132.0, 2012, 507, 74203, 2924, 326, 25.8, 2.70, 0.000, 0.000
2792, 600, 8.6, 28.0, 60.8, 7.2, 27.6, 51.6, 18.6, 32.8, 48.6, 2.8, 4.0, 8.0, 2.8, 4.6, 7.6, 2.4, 3.0, 3.2, 0.0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2014, 507, 74609, 2950, 329, 71.6, 20.00, 0.000, 0.000
3113, 600, 5.8, 7.4, 13.2, 4.8, 6.4, 12.4, 12.6, 17.2, 20.0, 2.6, 3.4, 5.0, 2.6, 4.0, 8.4, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2034, 518, 74914, 3043, 343, 23.8, 2.35, 0.000, 0.000
3432, 600, 5.8, 7.2, 16.4, 5.2, 6.6, 9.8, 12.4, 16.2, 19.2, 2.6, 3.4, 4.4, 2.6, 3.2, 4.8, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 537, 75075, 3090, 348, 24.0, 2.65, 0.000, 0.000
3752, 600, 6.4, 7.4, 21.8, 5.2, 6.2, 21.0, 12.0, 16.8, 20.4, 2.8, 3.6, 4.8, 2.4, 3.2, 4.8, 2.4, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37.5, 2025, 501, 74261, 2926, 327, 22.8, 2.40, 0.000, 0.000
4073, 600, 6.6, 7.8, 27.4, 5.6, 7.0, 26.6, 12.6, 16.0, 20.4, 3.0, 4.0, 6.0, 2.6, 3.4, 4.4, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2034, 505, 74978, 3054, 335, 23.0, 2.55, 0.000, 0.000
4393, 600, 6.4, 7.6, 9.8, 5.4, 6.6, 10.2, 15.6, 20.8, 25.0, 3.0, 3.8, 6.0, 2.8, 4.2, 5.2, 2.6, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2042, 508, 75428, 3125, 343, 23.2, 2.20, 0.000, 0.000
4713, 600, 5.8, 7.4, 21.0, 5.0, 6.8, 17.0, 14.4, 18.8, 26.0, 2.8, 4.0, 7.4, 2.2, 3.0, 5.6, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2102, 539, 75685, 3241, 347, 24.8, 2.98, 0.000, 0.000
5033, 600, 6.4, 7.6, 12.4, 5.2, 6.8, 9.0, 14.4, 20.6, 24.0, 2.8, 3.6, 5.0, 3.0, 4.4, 5.6, 2.6, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2055, 543, 75913, 3339, 356, 23.6, 2.53, 0.000, 0.000
5354, 600, 6.6, 8.2, 18.4, 5.8, 7.0, 15.6, 13.6, 17.0, 19.6, 2.8, 3.8, 7.8, 3.0, 4.6, 8.0, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2069, 546, 76265, 3471, 364, 24.0, 2.65, 0.000, 0.000
5674, 600, 6.4, 7.6, 16.4, 5.6, 6.8, 16.0, 14.6, 18.4, 20.6, 3.0, 3.8, 4.6, 2.4, 3.0, 6.0, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2078, 556, 76563, 3545, 373, 23.8, 2.65, 0.000, 0.000
5993, 600, 6.4, 7.6, 12.2, 5.8, 7.0, 9.8, 15.8, 19.6, 22.4, 2.8, 3.4, 6.2, 2.4, 3.0, 4.2, 2.4, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2077, 559, 76747, 3621, 376, 23.6, 2.12, 0.000, 0.000
6314, 600, 6.4, 7.8, 17.4, 5.8, 7.0, 12.2, 15.6, 19.8, 21.8, 2.6, 3.4, 5.2, 2.4, 3.0, 3.4, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62.5, 2028, 544, 75463, 3194, 337, 22.8, 2.42, 0.000, 0.000
6634, 600, 6.4, 7.8, 18.4, 5.8, 7.0, 17.6, 14.8, 20.8, 23.4, 2.8, 3.8, 5.2, 2.6, 3.2, 4.2, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2044, 547, 76028, 3288, 346, 23.0, 2.53, 0.000, 0.000
6953, 600, 6.2, 7.6, 14.8, 5.6, 7.0, 14.0, 17.6, 22.4, 30.2, 2.6, 3.2, 9.8, 2.2, 2.8, 3.6, 2.2, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2048, 550, 76344, 3409, 351, 24.0, 2.53, 0.000, 0.000
7273, 600, 6.4, 7.8, 12.2, 5.8, 7.2, 11.2, 18.0, 22.0, 25.8, 2.8, 3.6, 4.4, 2.4, 3.0, 4.2, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2085, 557, 76605, 3487, 355, 23.8, 2.38, 0.000, 0.000
7593, 600, 6.2, 7.2, 16.2, 5.4, 6.6, 12.0, 16.4, 22.8, 26.0, 2.6, 3.6, 4.4, 2.2, 2.8, 3.2, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2085, 560, 76783, 3530, 360, 22.2, 2.35, 0.000, 0.000
7914, 600, 7.0, 8.6, 11.8, 6.2, 7.8, 11.0, 14.0, 17.8, 19.8, 3.4, 4.6, 8.6, 3.0, 4.0, 4.6, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2101, 560, 76975, 3638, 364, 22.8, 2.48, 0.000, 0.000
8234, 600, 7.0, 8.4, 13.4, 6.4, 7.8, 11.0, 14.8, 19.8, 22.0, 3.4, 4.4, 5.2, 2.6, 3.4, 4.4, 2.6, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2104, 571, 77219, 3728, 369, 23.8, 2.60, 0.000, 0.000
8555, 600, 7.0, 8.8, 27.8, 6.4, 8.0, 27.4, 16.6, 20.4, 21.8, 3.2, 4.0, 6.8, 2.8, 3.4, 5.0, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81.0, 2078, 554, 75498, 3155, 336, 23.2, 2.83, 0.000, 0.000
8875, 600, 6.2, 7.4, 14.0, 5.6, 6.8, 12.0, 15.8, 21.6, 26.4, 2.6, 3.4, 4.6, 2.4, 2.8, 3.4, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2072, 555, 75727, 3291, 339, 23.0, 2.12, 0.000, 0.000
9195, 600, 6.2, 7.4, 11.2, 5.6, 6.6, 9.2, 16.4, 20.8, 24.0, 2.6, 3.4, 4.4, 2.2, 2.8, 3.8, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2075, 555, 75909, 3368, 341, 22.6, 2.55, 0.000, 0.000
9516, 600, 6.6, 7.8, 11.2, 6.0, 7.0, 8.8, 15.8, 19.8, 21.8, 3.0, 3.8, 4.4, 2.4, 3.0, 3.6, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2070, 556, 76037, 3420, 344, 24.0, 2.33, 0.000, 0.000
9836, 600, 6.6, 7.8, 17.6, 5.8, 7.0, 17.0, 15.4, 19.4, 23.0, 2.6, 3.6, 4.6, 2.2, 2.8, 3.8, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2091, 583, 76743, 3472, 347, 24.0, 2.42, 0.000, 0.000
10156, 600, 6.2, 7.6, 16.4, 5.6, 6.8, 10.0, 15.2, 20.0, 21.6, 2.6, 3.4, 7.8, 2.2, 2.8, 6.6, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2083, 583, 76905, 3527, 351, 22.4, 2.65, 0.000, 0.000
10476, 600, 6.2, 7.4, 14.8, 5.6, 6.8, 13.6, 13.8, 17.2, 19.0, 2.8, 3.6, 4.6, 2.2, 2.8, 4.0, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2088, 583, 77242, 3596, 355, 23.0, 2.15, 0.000, 0.000
10796, 600, 5.8, 6.8, 14.2, 5.0, 6.2, 13.6, 13.6, 17.4, 21.8, 2.0, 2.6, 3.4, 2.0, 2.2, 2.6, 1.8, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2090, 589, 77484, 3670, 363, 23.4, 2.20, 0.000, 0.000
11115, 600, 6.4, 7.6, 27.2, 5.6, 6.8, 27.0, 15.8, 22.2, 26.4, 3.0, 3.6, 4.4, 2.4, 2.8, 3.4, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71.5, 2056, 559, 75717, 3155, 336, 24.0, 2.35, 0.000, 0.000
11436, 600, 5.6, 6.6, 14.0, 5.0, 6.0, 11.4, 13.2, 18.6, 22.0, 2.2, 2.8, 3.6, 2.0, 2.4, 2.8, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2060, 568, 76092, 3368, 343, 24.4, 2.58, 0.000, 0.000
11756, 600, 6.8, 8.2, 21.0, 6.0, 7.6, 18.8, 12.6, 16.6, 20.0, 2.8, 3.8, 7.4, 2.4, 3.2, 5.8, 2.4, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2081, 572, 76710, 3518, 351, 23.8, 2.62, 0.000, 0.000
12077, 600, 6.0, 7.2, 10.2, 5.2, 6.4, 9.8, 14.6, 19.4, 21.2, 2.6, 3.2, 3.8, 2.2, 2.8, 9.0, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2078, 574, 76983, 3656, 357, 24.2, 2.60, 0.000, 0.000
12396, 600, 6.6, 7.8, 10.8, 5.4, 6.6, 9.0, 13.8, 18.4, 20.0, 2.8, 3.4, 4.8, 3.0, 4.6, 5.8, 2.6, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2074, 574, 77200, 3774, 360, 24.8, 2.40, 0.000, 0.000
12717, 600, 6.4, 7.8, 15.6, 5.8, 7.0, 13.2, 13.4, 19.0, 20.4, 2.8, 3.6, 4.2, 2.4, 3.0, 3.4, 2.4, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2090, 585, 77644, 4009, 373, 24.4, 2.38, 0.000, 0.000
